Hutt,Gastropod,Sentient,300,"Green, Brown, Tan",NA,"Yellow, Red",1000,Huttese,Nal Hutta
Yoda's Species,Mammal,Sentient,66,"Green, Yellow","Brown, White","Brown, Green, Yellow",900,Galactic Basic,NA
Trandoshan,Reptile,Sentient,200,"Brown, Green",NA,"Yellow, Orange",0,Dosh,Trandosha
Mon Calamari,Amphibian,Sentient,160,"Red, Blue, Brown, Magenta",NA,Yellow,0,Mon Calamarian,Mon Cala
Ewok,Mammal,Sentient,100,Brown,"White, Brown, Black","Orange, Brown",0,Ewokese,Endor
Sullustan,Mammal,Sentient,180,Pale,NA,Black,0,Sullutese,Sullust
Neimodian,NA,Sentient,180,"Grey, Green",NA,"Red, Pink",0,Neimoidia,Cato Neimoidia
Gungan,Amphibian,Sentient,190,"Brown, Green",NA,Orange,0,Gungan Basic,Naboo
Toydarian,Mammal,Sentient,120,"Blue, Green, Grey",NA,Yellow,91,Toydarian,Toydaria
Dug,Mammal,Sentient,100,"Brown, Purple, Grey, Red",NA,"Yellow, Blue",0,Dugese,Malastare
Twi'lek,Mammals,Sentient,200,"Orange, Yellow, Blue, Green, Pink, Purple, Tan",NA,"Blue, Brown, Orange, Pink",0,Twi'Leki,Ryloth
Aleena,Reptile,Sentient,80,"Blue, Gray",NA,NA,79,Aleena,Aleen Minor
Vulptereen,NA,Sentient,100,Grey,NA,Yellow,0,Vulpterish,Vulpter
Xexto,NA,Sentient,125,"Grey, Yellow, Purple",NA,Black,0,Xextese,Troiken
Toong,NA,Sentient,200,"Grey, Green, Yellow",NA,Orange,0,Tundan,Tund
Cerean,Mammal,Sentient,200,Pale Pink,"Red, Blond, Black, White",Hazel,0,Cerean,Cerea
Nautolan,Amphibian,Sentient,180,"Green, Blue, Brown, Red",NA,Black,70,Nautila,Glee Anselm
Zabrak,Mammal,Sentient,180,"Pale, Brown, Red, Orange, Yellow",Black,"Brown, Orange",0,Zabraki,Iridonia
Tholothian,Mammal,Sentient,0,Dark,NA,"Blue, Indigo",0,NA,Tholoth
Iktotchi,NA,Sentient,180,Pink,NA,Orange,0,Iktotchese,Iktotch
Quermian,Mammal,Sentient,240,White,NA,Yellow,86,Quermian,Quermia
Kel Dor,NA,Sentient,180,"Peach, Orange, Red",NA,"Black, Silver",70,Kel Dor,Dorin
Chagrian,Amphibian,Sentient,190,Blue,NA,Blue,0,Chagria,Champala
Geonosian,Insectoid,Sentient,178,"Green, Brown",NA,"Green, Hazel",0,Geonosian,Geonosis
Mirialan,Mammal,Sentient,180,"Yellow, Green","Black, Brown","Blue, Green, Red, Yellow, Brown, Orange",0,Mirialan,Mirial
Clawdite,Reptilian,Sentient,180,"Green, Yellow",NA,Yellow,70,Clawdite,Zolan
Besalisk,Amphibian,Sentient,178,Brown,NA,Yellow,75,Besalisk,Ojom
Kaminoan,Amphibian,Sentient,220,"Grey, Blue",NA,Black,80,Kaminoan,Kamino
Skakoan,Mammal,Sentient,0,"Grey, Green",NA,NA,0,Skakoan,Skako
Muun,Mammal,Sentient,190,"Grey, White",NA,Black,100,Muun,Muunilinst
Togruta,Mammal,Sentient,180,"Red, White, Orange, Yellow, Green, Blue",NA,"Red, Orange, Yellow, Green, Blue, Black",94,Togruti,Shili
Kaleesh,Reptile,Sentient,170,"Brown, Orange, Tan",NA,Yellow,80,Kaleesh,Kalee
Pau'an,Mammal,Sentient,190,Grey,NA,Black,700,Utapese,Utapau
Wookiee,Mammal,Sentient,210,Grey,"Black, Brown","Blue, Green, Yellow, Brown, Golden, Red",400,Shyriiwook,Kashyyyk
Droid,Artificial,Sentient,0,NA,NA,NA,0,NA,NA
Human,Mammal,Sentient,180,"Caucasian, Black, Asian, Hispanic","Blonde, Brown, Black, Red","Brown, Blue, Green, Hazel, Grey, Amber",120,Galactic Basic,Coruscant
Rodian,Sentient,Reptilian,170,"Green, Blue",NA,Black,0,Galactic Basic,Rodia
